,open,high,low,close,volume
2024-09-19 10:45:00,2703.084,2747.74,2697.776,2742.481,12571994300.0
2024-09-19 11:00:00,2741.909,2742.919,2725.765,2733.382,3620601400.0
2024-09-19 11:15:00,2741.909,2742.919,2725.765,2733.382,3620601400.0
2024-09-19 11:30:00,2741.909,2742.919,2725.765,2733.382,3620601400.0
2024-09-19 13:15:00,2733.61,2742.214,2732.905,2734.999,3478784700.0
2024-09-19 13:30:00,2733.61,2742.214,2732.905,2734.999,3478784700.0
2024-09-19 13:45:00,2733.61,2742.214,2732.905,2734.999,3478784700.0
2024-09-19 14:00:00,2735.006,2738.934,2729.09,2733.631,4201335300.0
2024-09-19 14:15:00,2735.006,2738.934,2729.09,2733.631,4201335300.0
2024-09-19 14:30:00,2735.006,2738.934,2729.09,2733.631,4201335300.0
2024-09-19 14:45:00,2735.006,2738.934,2729.09,2733.631,4201335300.0
2024-09-19 15:00:00,2733.59,2736.886,2733.133,2736.022,1987910200.0
2024-09-20 09:45:00,2734.228,2734.47,2726.501,2729.266,5358629700.0
2024-09-20 10:00:00,2729.09,2736.169,2724.006,2732.401,8555314400.0
2024-09-20 10:15:00,2729.09,2736.169,2724.006,2732.401,8555314400.0
2024-09-20 10:30:00,2729.09,2736.169,2724.006,2732.401,8555314400.0
2024-09-20 10:45:00,2729.09,2736.169,2724.006,2732.401,8555314400.0
2024-09-20 11:00:00,2732.822,2734.204,2728.913,2729.689,2930108400.0
2024-09-20 11:15:00,2732.822,2734.204,2728.913,2729.689,2930108400.0
2024-09-20 11:30:00,2732.822,2734.204,2728.913,2729.689,2930108400.0
2024-09-20 13:15:00,2729.75,2729.75,2719.267,2719.913,3475556500.0
2024-09-20 13:30:00,2729.75,2729.75,2719.267,2719.913,3475556500.0
2024-09-20 13:45:00,2729.75,2729.75,2719.267,2719.913,3475556500.0
2024-09-20 14:00:00,2719.835,2741.155,2717.945,2739.727,5422114800.0
2024-09-20 14:15:00,2719.835,2741.155,2717.945,2739.727,5422114800.0
2024-09-20 14:30:00,2719.835,2741.155,2717.945,2739.727,5422114800.0
2024-09-20 14:45:00,2719.835,2741.155,2717.945,2739.727,5422114800.0
2024-09-20 15:00:00,2739.733,2741.004,2736.814,2736.814,2822738900.0
2024-09-23 09:45:00,2735.39,2752.04,2731.357,2751.236,5502368700.0
2024-09-23 10:00:00,2751.063,2751.478,2740.216,2748.577,7675153600.0
2024-09-23 10:15:00,2751.063,2751.478,2740.216,2748.577,7675153600.0
2024-09-23 10:30:00,2751.063,2751.478,2740.216,2748.577,7675153600.0
2024-09-23 10:45:00,2751.063,2751.478,2740.216,2748.577,7675153600.0
2024-09-23 11:00:00,2748.545,2760.48,2747.9,2756.388,3282491400.0
2024-09-23 11:15:00,2748.545,2760.48,2747.9,2756.388,3282491400.0
2024-09-23 11:30:00,2748.545,2760.48,2747.9,2756.388,3282491400.0
2024-09-23 13:15:00,2755.977,2756.932,2751.5,2753.951,3328332900.0
2024-09-23 13:30:00,2755.977,2756.932,2751.5,2753.951,3328332900.0
2024-09-23 13:45:00,2755.977,2756.932,2751.5,2753.951,3328332900.0
2024-09-23 14:00:00,2753.853,2754.04,2746.168,2748.515,4220739700.0
2024-09-23 14:15:00,2753.853,2754.04,2746.168,2748.515,4220739700.0
2024-09-23 14:30:00,2753.853,2754.04,2746.168,2748.515,4220739700.0
2024-09-23 14:45:00,2753.853,2754.04,2746.168,2748.515,4220739700.0
2024-09-23 15:00:00,2748.598,2749.253,2747.249,2748.918,1755129100.0
2024-09-24 09:45:00,2770.754,2780.959,2770.545,2775.238,7248806100.0
2024-09-24 10:00:00,2775.964,2776.461,2761.375,2774.92,10905735100.0
2024-09-24 10:15:00,2775.964,2776.461,2761.375,2774.92,10905735100.0
2024-09-24 10:30:00,2775.964,2776.461,2761.375,2774.92,10905735100.0
2024-09-24 10:45:00,2775.964,2776.461,2761.375,2774.92,10905735100.0
2024-09-24 11:00:00,2775.29,2814.861,2775.29,2814.297,8900790700.0
2024-09-24 11:15:00,2775.29,2814.861,2775.29,2814.297,8900790700.0
